restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Hyderabad Biryaani House,Old Airport Road,25 1st Floor NR Chambers Murgeshpalya Old Airport Road Bangalore,Biryani, North Indian, Chinese, Mughlai, , , , 
Purple Elephant,Kumaraswamy Layout,1335 14th Main Water Tank Road 1st Stage Kumaraswamy Layout Bangalore,Pizza, Fast Food, , , , , , 
Grill Daddy,Koramangala 7th Block,374 1st A Cross 1st Main Koramangala 7th Block Bangalore,Continental, American, Pizza, Burger, Cafe, Sandwich, Beverages, 
Pepe's Pizza,Brookefield,637 C Block AECS Layout Brookefield Bangalore,Pizza, Italian, Burger, Sandwich, Desserts, Beverages, , 
Bologna,Indiranagar,759 1st Floor 100 Feet Road Indiranagar Bangalore,Italian, Desserts, , , , , , 
Uncle Peter's Pancakes,Indiranagar,110 Ground Floor 18th Main 100 Feet Road Indiranagar Bangalore,Desserts, Beverages, , , , , , 
Fattoush,Bannerghatta Road,128/54/10 1st Floor Dasarapalya Opposite IIM - B Bannerghatta Road Bangalore,Arabian, Middle Eastern, North Indian, Mughlai, Chinese, Seafood,, 
Naatil Evideya,Kammanahalli,11 3rd B Main Road Ramaiya Layout Kacharakanahalli Near Kammanahalli Banglore,Kerala, South Indian, Chettinad, Biryani, , , , 
Andhra Gunpowder,Jeevan Bhima Nagar,Delivery Only,Andhra, South Indian, Biryani, , , , , 
The London Curry House - The Royale Senate Hotel,Race Course Road,19/3 Kumara Krupa Road Race Course Road Bangalore,Modern Indian, North Indian, Italian, Continental, , , , 
Lavonne,Indiranagar,263 Domlur 2nd Stage Indiranagar Bangalore,Cafe, Continental, Beverages, , , , , 
Kadavu Shappu Currys,HSR,2nd Main Muneshwara Layout Vinayaka Nagar Kudlu Gate HSR Bangalore,Kerala, Chinese, Arabian, North Indian, Biryani, Beverages, , 
Northern Kitchen's,BTM,240 7th Cross Mico Layout Opposite SBI Bank 2nd Stage BTM Bangalore,North Indian, Chinese, , , , , , 
Eat@99,Rajarajeshwari Nagar,1162 Top Floor Pandit Jawaharlal Nehru Road BEML Layout Rajarajeshwari Nagar Bangalore,North Indian, Chinese, , , , , , 
Cafe Grill,Jeevan Bhima Nagar,11 HAL 3rd Stage Jeevan Bhima Nagar Bangalore,Chinese, North Indian, Rolls, , , , , 
Empire Juices And Ice Creams,Rajajinagar,Delivery Only,Juices, Beverages, Ice Cream, , , , , 
Farzi Cafe,UB City,UB City 24 Grant Road Vittal Malya Lavelle Road Bangalore,Modern Indian, , , , , , , 
Chole Bhatura And Parathas,BTM,Shop 2 100 Feet Outer Ring Road 1 Stage BTM Bangalore,North Indian, , , , , , , 
Udupi Upachar,Brookefield,AECS Layout Kundalahalli Brookefield Bangalore,South Indian, North Indian, Chinese, Beverages, , , , 
Donne Biriyani House,HSR,581 Ground Floor 22nd Cross Road HSR Club Road 3rd Sector HSR Bangalore,Biryani, South Indian, , , , , , 
Megna's Gourmet,Rajarajeshwari Nagar,942 Kengeri Main Road Dwarka Nagar Channasandra Rajarajeshwari Nagar Bangalore,Pizza, , , , , , , 
Hotel Aditya,Rajajinagar,159 Mahalakshmipuram Opposite Nandini Theatre Rajajinagar Bangalore,South Indian, Biryani, , , , , , 
Shawarma Grill House,Rajajinagar,1726/B 1st Main Road 2nd Stage D Block Rajajinagar Bangalore,Arabian, Rolls, , , , , , 
Siddique Kabab Centre,Frazer Town,St Johns Church Road Near Coles Park Frazer Town Bangalore,Mughlai, Chinese, North Indian, , , , , 
Chaayos - Meri Wali Chai,Bellandur,Unit 001 Green Glen Layout Varthuru Hobli Bellandur Bangalore,Fast Food, Street Food, Desserts, Tea, Beverages, , , 
Dofu,Indiranagar,303 Ground Floor Ashok Terrace 100 Feet Road Indiranagar Bangalore,Chinese, Korean, Japanese, Beverages, Desserts, , , 
Breads and Co,Vijay Nagar,70 Service Road 4th Main Road Vijay Nagar Bangalore,Fast Food, Beverages, , , , , , 
Milano Ice Cream,Indiranagar,460 2nd Cross Krishna Temple Road Indiranagar Bangalore,Desserts, Ice Cream, , , , , , 
Raja Gobi Centre,JP Nagar,17th C Cross Rd 5th Phase JP Nagar Bangalore,Fast Food, , , , , , , 
Raffaele's Ristorante Pizzeria,Koramangala 6th Block,Builders NGV Club National Games Village Koramangala 6th Block Bangalore,Continental, Pizza, Italian, Burger, Beverages, , , 
Szechuan Dragon,HSR,1502 19th Main Road Sector 1 HSR Bangalore,Chinese, Thai, Momos, , , , , 
Big Pitcher,Old Airport Road,4121 LR Arcade Old Airport Road Bangalore,American, Continental, North Indian, Mediterranean, Beverages, , , 
Motis Kitchen,Thippasandra,3 9th Main Seethappa Thippasandra Bangalore,South Indian, Kerala, Biryani, , , , , 
